ID,Geographical Area,Persons
16,MANUS,60485
19,WEST NEW BRITAIN,264264
20,NORTH SOLOMONS,249358
18,EAST NEW BRITAIN,328369
17,NEW IRELAND,194067
01,WESTERN,201351
02,GULF,158197
03,CENTRAL,269756
04,NATIONAL CAPITAL DISTRICT,364125
05,MILNE BAY,276512
06,NORTHERN,186309
07,SOUTHERN HIGHLANDS,510245
08,ENGA,432045
09,WESTERN HIGHLANDS,362850
10,CHIMBU,376473
11,EASTERN HIGHLANDS,579825
21,HELA,249449
22,JIWAKA,343987
12,MOROBE,674810
13,MADANG,493906
14,EAST SEPIK,450530
15,WEST SEPIK,248411

















